phrase,cluster,intent,seed,group,observedDate,geo,lang,volume,difficulty,cpc,timesObserved,collidesWithExisting,existingOwnerSlug,nearCollision,nearCollisionOwnerSlug
100+ offline games no wifi fun downloadable content,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
100+ offline games no wifi fun on google,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
100+ offline games no wifi fun online,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
100+ offline games no wifi fun website,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
100+ offline games no wifi fun without download,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
10000 offline games no wifi download,A,app-discovery,offline games no wifi,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
android app permissions explained,A,app-discovery,android app permissions explained,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
anime coloring app,A,app-discovery,anime coloring app,portfolio-anime-creative,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
anime coloring app free,A,app-discovery,anime coloring app,portfolio-anime-creative,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
anime coloring app online,A,app-discovery,anime coloring app,portfolio-anime-creative,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
anime coloring book app,A,app-discovery,anime coloring app,portfolio-anime-creative,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
anime coloring pages app,A,app-discovery,anime coloring app,portfolio-anime-creative,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
anime colouring app free,A,app-discovery,anime coloring app,portfolio-anime-creative,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
